continent,country,network,netmask,src_addr,dst_addr,next_hop,input_iface,output_iface,pkts_sent,bytes_sent,start_time,end_time,src_port,dst_port,ip_proto,tos,src_as,dst_as,src_mask,dst_mask,tcp_flag_ACK,tcp_flag_CWR,tcp_flag_ECE,tcp_flag_FIN,tcp_flag_PSH,tcp_flag_RST,tcp_flag_SYN,tcp_flag_URG
NA,US,100.10.20.4,11,100.10.20.4,92.6.85.115,0.0.0.0,0,0,4,502,2073-05-09 16:36:44,2073-05-09 16:37:47,80,40184,TCP,0,0,0,0,0,1,0,0,1,1,0,1,0
NA,US,100.10.20.3,11,100.10.20.3,100.10.20.4,0.0.0.0,0,0,7,559,2073-05-09 16:37:35,2073-05-09 16:37:40,OTHER,2566,TCP,0,0,0,0,0,1,0,0,1,1,0,1,0
NA,US,100.10.20.4,11,100.10.20.4,100.10.20.3,0.0.0.0,0,0,8,445,2073-05-09 16:37:35,2073-05-09 16:37:40,OTHER,3306,TCP,0,0,0,0,0,1,0,0,1,1,0,1,0
NA,US,29.107.96.134,7,29.107.96.134,100.10.20.4,0.0.0.0,0,0,43,58716,2073-05-12 06:24:31,2073-05-12 06:58:11,OTHER,80,TCP,0,0,0,0,0,1,0,0,0,1,1,1,0
NA,US,100.10.20.4,11,100.10.20.4,29.107.96.134,0.0.0.0,0,0,25,1629,2073-05-12 06:24:31,2073-05-12 06:58:11,80,41739,TCP,0,0,0,0,0,1,0,0,1,1,1,1,0
NA,US,100.10.20.4,11,100.10.20.20,100.20.200.140,0.0.0.0,0,0,13,13648,2073-05-10 05:26:51,2073-05-10 05:27:13,80,56168,TCP,0,0,0,0,0,1,0,0,1,1,0,1,0
NA,US,100.20.200.4,11,100.20.200.140,100.10.20.20,0.0.0.0,0,0,13,755,2073-05-10 05:26:51,2073-05-10 05:27:13,OTHER,80,TCP,0,0,0,0,0,1,0,0,1,1,0,1,0
NA,US,100.10.20.3,11,100.10.20.3,100.10.20.20,0.0.0.0,0,0,16,13673,2073-05-10 05:26:58,2073-05-10 05:27:08,OTHER,35424,TCP,0,0,0,0,0,1,0,0,1,1,0,1,0
NA,US,100.10.20.4,11,100.10.20.20,100.10.20.3,0.0.0.0,0,0,14,835,2073-05-10 05:26:58,2073-05-10 05:27:08,OTHER,3306,TCP,0,0,0,0,0,1,0,0,1,1,0,1,0
NA,US,29.107.96.134,7,29.107.96.134,100.10.20.4,0.0.0.0,0,0,43,58716,2073-05-12 06:58:17,2073-05-12 07:31:41,OTHER,80,TCP,0,0,0,0,0,1,0,0,0,1,1,1,0
NA,US,100.10.20.4,11,100.10.20.4,29.107.96.134,0.0.0.0,0,0,25,1629,2073-05-12 06:58:17,2073-05-12 07:31:41,80,41758,TCP,0,0,0,0,0,1,0,0,1,1,1,1,0
NA,US,29.107.96.134,7,29.107.96.134,100.10.20.4,0.0.0.0,0,0,5,337,2073-05-10 05:44:19,2073-05-10 05:44:23,OTHER,80,TCP,0,0,0,0,0,1,0,0,1,1,0,1,0
NA,US,100.10.20.4,11,100.10.20.4,29.107.96.134,0.0.0.0,0,0,4,478,2073-05-10 05:44:19,2073-05-10 05:44:23,80,40465,TCP,0,0,0,0,0,1,0,0,1,1,0,1,0
NA,US,100.10.20.4,11,100.10.20.20,100.20.173.188,0.0.0.0,0,0,288,54796,2073-05-11 02:09:54,2073-05-12 07:52:14,OTHER,56779,TCP,0,0,0,0,0,1,0,0,0,1,0,1,0
NA,US,100.20.172.4,11,100.20.173.188,100.10.20.20,0.0.0.0,0,0,292,17894,2073-05-11 02:09:54,2073-05-12 07:52:14,OTHER,6667,TCP,0,0,0,0,0,1,0,0,0,1,1,1,0
NA,US,29.107.96.134,7,29.107.96.134,100.10.20.4,0.0.0.0,0,0,43,58716,2073-05-12 07:31:54,2073-05-12 08:05:21,OTHER,80,TCP,0,0,0,0,0,1,0,0,0,1,1,1,0
NA,US,100.10.20.4,11,100.10.20.4,29.107.96.134,0.0.0.0,0,0,26,1681,2073-05-12 07:31:54,2073-05-12 08:05:21,80,41780,TCP,0,0,0,0,0,1,0,0,1,1,1,1,0
NA,US,29.107.96.134,7,29.107.96.134,100.10.20.4,0.0.0.0,0,0,41,55716,2073-05-12 08:05:27,2073-05-12 08:39:01,OTHER,80,TCP,0,0,0,0,0,1,0,0,0,1,1,1,0
NA,US,100.10.20.4,11,100.10.20.4,29.107.96.134,0.0.0.0,0,0,24,1589,2073-05-12 08:05:27,2073-05-12 08:39:01,80,41788,TCP,0,0,0,0,0,1,0,0,1,1,1,1,0
NA,US,100.10.20.4,11,100.10.20.20,100.20.200.140,0.0.0.0,0,0,151,221436,2073-05-10 06:50:44,2073-05-10 06:53:13,80,56200,TCP,0,0,0,0,0,1,0,0,1,1,0,1,0
NA,US,100.20.200.4,11,100.20.200.140,100.10.20.20,0.0.0.0,0,0,60,3208,2073-05-10 06:50:44,2073-05-10 06:53:13,OTHER,80,TCP,0,0,0,0,0,1,0,0,1,1,0,1,0
NA,US,29.107.96.134,7,29.107.96.134,100.10.20.4,0.0.0.0,0,0,5,337,2073-05-10 07:20:49,2073-05-10 07:20:53,OTHER,80,TCP,0,0,0,0,0,1,0,0,1,1,0,1,0
NA,US,100.10.20.4,11,100.10.20.4,29.107.96.134,0.0.0.0,0,0,4,478,2073-05-10 07:20:49,2073-05-10 07:20:53,80,40516,TCP,0,0,0,0,0,1,0,0,1,1,0,1,0
NA,US,29.107.96.134,7,29.107.96.134,100.10.20.4,0.0.0.0,0,0,41,57164,2073-05-12 08:39:07,2073-05-12 09:12:32,OTHER,80,TCP,0,0,0,0,0,1,0,0,0,1,1,1,0
NA,US,100.10.20.4,11,100.10.20.4,29.107.96.134,0.0.0.0,0,0,21,1445,2073-05-12 08:39:07,2073-05-12 09:12:32,80,41811,TCP,0,0,0,0,0,1,0,0,1,1,1,1,0
NA,US,29.107.96.134,7,29.107.96.134,100.10.20.4,0.0.0.0,0,0,43,58716,2073-05-12 09:12:44,2073-05-12 09:46:12,OTHER,80,TCP,0,0,0,0,0,1,0,0,0,1,1,1,0
NA,US,100.10.20.4,11,100.10.20.4,29.107.96.134,0.0.0.0,0,0,21,1427,2073-05-12 09:12:44,2073-05-12 09:46:12,80,41818,TCP,0,0,0,0,0,1,0,0,1,1,1,1,0
NA,US,100.10.20.4,11,100.10.20.4,100.10.20.9,0.0.0.0,0,0,61,61736,2073-05-10 07:58:19,2073-05-10 08:00:29,80,3062,TCP,0,0,0,0,0,1,0,0,1,1,0,1,0
NA,US,100.10.20.1,11,100.10.20.9,100.10.20.4,0.0.0.0,0,0,29,1717,2073-05-10 07:58:19,2073-05-10 08:00:29,OTHER,80,TCP,0,0,0,0,0,1,0,0,1,1,0,1,0
NA,US,100.10.20.3,11,100.10.20.3,100.10.20.4,0.0.0.0,0,0,43,38798,2073-05-10 07:58:55,2073-05-10 07:59:59,OTHER,2573,TCP,0,0,0,0,0,1,0,0,1,1,0,1,0
NA,US,100.10.20.4,11,100.10.20.4,100.10.20.3,0.0.0.0,0,0,33,1587,2073-05-10 07:58:55,2073-05-10 07:59:59,OTHER,3306,TCP,0,0,0,0,0,1,0,0,1,1,0,1,0
NA,US,29.107.96.134,7,29.107.96.134,100.10.20.4,0.0.0.0,0,0,41,55716,2073-05-12 09:46:18,2073-05-12 10:19:42,OTHER,80,TCP,0,0,0,0,0,1,0,0,0,1,1,1,0
NA,US,100.10.20.4,11,100.10.20.4,29.107.96.134,0.0.0.0,0,0,25,1641,2073-05-12 09:46:18,2073-05-12 10:19:42,80,41829,TCP,0,0,0,0,0,1,0,0,1,1,1,1,0
